id,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
0,23.05978246,6,140,110,2815,17.97742917,80,1,dodge aspen
3,17.67452124,8,350,150,4456,13.51453468,72,1,dodge rampage
4,17.13635332,8,302,140,2774,13.20991234,79,1,mercury cougar brougham
7,22.66466613,6,400,85,2190,15.19638089,71,1,pontiac j2000 se hatchback
9,17.87201811,8,429,220,2245,9.621400371,70,1,ford galaxie 500
11,23.40500653,6,140,110,2815,18.15236168,80,1,dodge aspen
13,17.2502984,6,318,110,3205,19.22886829,75,1,vw rabbit custom
16,35.46967612,4,140,165,2145,13.51958314,82,1,amc gremlin
19,22.83981986,6,200,85,3193,17.21580339,71,1,dodge monaco brougham
23,36.48956317,4,104,60,2000,14.89988444,81,1,datsun 200sx
24,44.7638971,4,85,?,1755,17.5030128,80,2,renault lecar deluxe
25,28.89268032,4,116,90,2670,15.30331687,79,1,pontiac lemans v6
26,35.56360603,4,97,67,1875,15.2860506,80,1,datsun 210
28,22.43104374,6,200,85,3193,17.20026367,71,1,dodge monaco brougham
29,27.47705612,4,119,97,3233,15.33376446,78,1,peugeot 505s turbo diesel
32,35.06649051,4,140,165,2300,13.56184583,82,1,datsun 200-sx
33,28.36142444,4,140,72,2200,19.28289713,76,1,chevrolet vega
36,17.29232629,8,429,122,2245,9.590617368,70,1,datsun 710
41,22.91923981,8,97,139,2300,13.12519535,78,1,ford futura
42,35.80318745,4,104,67,2000,14.93778718,81,1,fiat 124 sport coupe
43,23.294374100000002,4,140,110,2815,17.88616516,80,1,dodge aspen
44,17.60779279,6,89,110,3205,19.17634624,75,1,triumph tr7 coupe
47,28.301642699999995,4,140,88,2300,15.16306412,78,3,buick century
53,17.52013777,8,429,220,2245,9.57878946,70,1,datsun 710
56,22.50304361,6,400,85,3193,17.18995815,71,1,honda civic 1300
57,28.10221284,4,98,60,1760,13.51234697,71,1,vw rabbit
58,23.48915774,6,140,110,2815,15.60896798,80,1,dodge aspen
59,36.31700008,4,104,60,2123,14.86460885,81,3,datsun 200sx
61,35.188596600000004,4,134,100,2385,15.429557500000001,74,3,datsun 210
63,22.05089714,6,400,97,3193,15.2329245,71,1,dodge monaco brougham
67,23.67251893,8,262,105,3870,15.2167372,75,1,chevrolet nova
69,35.48743429,4,134,85,2391,15.47163302,74,3,buick regal sport coupe (turbo)
70,17.89870707,8,302,150,2210,13.20980065,79,1,ford gran torino
72,44.03339008,4,85,54,2190,20.65014644,80,2,ford pinto
73,22.80655247,4,140,97,3233,15.27445488,78,1,datsun 210
74,17.72888241,8,318,71,3459,13.3955062,75,1,chevrolet caprice classic
80,35.61716994,4,98,90,2000,15.11281174,81,1,peugeot 504
82,28.47581407,4,151,90,3420,15.47621582,79,1,buick lesabre custom
83,27.63469498,4,98,60,1760,19.93511953,76,1,chevrolet woody
84,28.53682142,4,98,90,3353,15.43898318,80,1,peugeot 504
86,28.70066905,4,97,78,2670,17.90332883,71,2,opel 1900
87,28.37256997,4,90,75,2123,17.55404045,81,3,capri ii
88,36.09211133,4,104,67,2000,14.93326429,81,1,datsun 200sx
89,42.13308862,4,305,148,2215,17.7495076,82,2,mercury capri 2000
91,34.72996334,4,146,130,2254,20.52201792,80,1,chevrolet monza 2+2
93,15.99133885,6,302,71,2500,19.22947796,75,1,triumph tr7 coupe
94,17.20153639,6,400,85,4154,17.01818472,73,1,dodge monaco brougham
95,22.75968551,4,140,72,2125,13.36731905,71,1,dodge aries se
96,23.00870174,4,140,?,1760,19.4724267,76,1,vw rabbit
98,34.81428256,4,151,85,4335,15.41889143,74,3,datsun 210 mpg
99,35.44486718,4,151,90,3381,15.56279818,80,1,datsun 810 maxima
102,17.2918327,8,429,122,2245,9.624648907000001,70,1,datsun 710
106,22.58167616,6,200,150,3193,17.17171778,73,1,dodge monaco brougham
107,36.00133991,4,80,67,2500,17.65843722,80,3,chevrolet nova
110,35.68955446,4,135,67,1875,15.3201271,80,1,pontiac astro
111,23.21983832,6,140,110,2815,18.17655205,80,1,dodge aspen
112,22.68577205,6,156,71,2200,13.24637436,76,1,toyota mark ii
114,23.1928758,6,231,110,2815,18.17084454,80,1,dodge aspen
115,33.26514941,4,144,100,2702,13.59123778,77,3,ford mustang ii 2+2
117,22.79299403,6,225,71,3651,13.19338796,78,1,datsun 210
119,28.55095334,4,97,150,2130,13.43775408,70,1,datsun pl510
120,23.41305009,4,120,105,2125,17.635087,70,1,datsun pl510
121,36.11301949,4,140,67,2000,15.07843229,79,1,fiat 124 sport coupe
123,22.82702594,6,400,95,3193,13.22550418,71,1,honda civic 1300
126,28.69347415,4,98,90,2000,15.09997003,81,1,datsun 200sx
128,36.25947859,4,105,70,2000,15.08332558,79,1,chevrolet impala
129,22.51874527,4,140,112,1963,13.47814254,73,2,audi 5000s (diesel)
130,22.31114859,6,200,85,3193,17.20247709,71,1,dodge monaco brougham
131,36.02971771,4,134,85,2045,17.83886306,74,3,buick regal sport coupe (turbo)
132,35.556749200000006,4,140,110,2835,13.75278058,82,1,buick century limited
